spanish,basque,context
capacidad productiva,ekoizpen-ahalmen,Economic Sciences > General economics
característica,ezaugarri,Juridical Sciences & Law > Constitutional law
característica,berezkotasun,Juridical Sciences & Law > Law Philosophy
característica,ezaugarri,Technological Sciences > Instrumentation technology
característica,ezaugarri,Physics > Electro-magnetism
característica, karakteristika,Physics > Electro-magnetism
característica,ezaugarri,Technological Sciences > Electronic technology
característica,ezaugarri,Medical Sciences > Pharmacology
carbón bituminoso,harrikatz,Technological Sciences > Chemical technology and engineering
carbón bituminoso, ikatz bituminoso,Technological Sciences > Chemical technology and engineering
carbón bituminoso,harrikatz bituminoso,Technological Sciences > Environmental technology and engineering
carencia,gabezia,Medical Sciences > Pharmacology
carencia,gabezia,Education sciences
carencia,gabetasun,Economic Sciences > Economic accounting
carga,karga,Chemistry > Physical chemistry
carga,zamaketa,Life sciences > Animal Biology
carga,karga,Juridical Sciences & Law > Administrative law
carga, zama,Juridical Sciences & Law > Administrative law
carga,karga,Technological Sciences > Environmental technology and engineering
carga, zama,Technological Sciences > Environmental technology and engineering
carga,karga,Juridical Sciences & Law > Civil law
carga,karga,Physics > Fluids (physics of)
carga,karga,Physics > Aplied Physics
carga,karga,Technological Sciences > Electronic technology
carga, karga-prozesu,Technological Sciences > Electronic technology
carga,karga,Medical Sciences > Pharmaceutical Technology
carga,karga,Technological Sciences > Electrical technology and engineering
carga, karga elektriko,Technological Sciences > Electrical technology and engineering
carga,karga,Technological Sciences > Construction technology
carga,karga,Physics > Mechanics
carga,karga,Juridical Sciences & Law > Roman law
carga,karga,Physics > Electro-magnetism
carga, karga elektriko,Physics > Electro-magnetism
carga,karga,Chemistry > Analytical chemistry
cargar,zordundu,Economic Sciences > Economic accounting
cargar,kargatu,Physics > Aplied Physics
cargar,kargatu,Physics > General Physics specialities
cargo,zordunketa,Economic Sciences > Organization and management of enterprises
cargo,ardurape,Education sciences
carrera,ibiltarte,Technological Sciences > Mechanical engineering and technology
carrera, karrera,Technological Sciences > Mechanical engineering and technology
carrera,lasterketa,Technological Sciences > Computer technology
casación,kasazio,Juridical Sciences & Law > Labour and Social Security law
casación,abrogazio,Juridical Sciences & Law > Roman law
casación, indargabetze,Juridical Sciences & Law > Roman law
cáscara,oskol,Technological Sciences > Construction technology
cáscara,azal,Technological Sciences > Projects
castigar,zehatu,Juridical Sciences & Law > Law Philosophy
castigar,zigortu,Juridical Sciences & Law > Constitutional law
caucho,kautxo,Technological Sciences > Environmental technology and engineering
caucho,goma,Chemistry > Physical chemistry
caucho, kautxu,Chemistry > Physical chemistry
caucho,kautxu,Technological Sciences > Mechanical engineering and technology
caucho,kautxu,Medical Sciences > Pharmaceutical Technology
causa,auzi,Juridical Sciences & Law > Procedural law
causa,kausa,Juridical Sciences & Law > Law Philosophy
causa,kausa,Juridical Sciences & Law > Roman law
causa,arrazoi,Education sciences
causa,kausa,Medical Sciences > Pharmacology
causa,kausa,Medical Sciences > Public health
CC,Kode Zibila,Juridical Sciences & Law > Civil law
CC, KZ,Juridical Sciences & Law > Civil law
CC,korronte zuzen,Technological Sciences > Electrical technology and engineering
CC, KZ,Technological Sciences > Electrical technology and engineering
CC,direct current,Technological Sciences > Electronic technology
CC, korronte zuzen,Technological Sciences > Electronic technology
CE,EK,Juridical Sciences & Law > Finance law
CE, Espainiar Konstituzioa,Juridical Sciences & Law > Finance law
CE,EE,Juridical Sciences & Law > European Union law
CE, Europako Erkidegoa,Juridical Sciences & Law > European Union law
CE, Europako Komunitatea,Juridical Sciences & Law > European Union law
CE, Komunitate Europarra,Juridical Sciences & Law > European Union law
cebador,hasle,Life sciences > Biochemistry and Molecular Biology
cebador, oligonukleotido abiarazle,Life sciences > Biochemistry and Molecular Biology
cebador,pitzarazgailu,Technological Sciences > Electrical technology and engineering
célula epitelial,epitelio-zelula,Life sciences > Cell biology
célula epitelial, epitelioko zelula,Life sciences > Cell biology
célula epitelial,azaleko zelula,Chemistry > Organic chemistry
censo,zentsu,Economic Sciences > Econometrics
censo,zentsu,Juridical Sciences & Law > Roman law
censo,errolda,Juridical Sciences & Law > Constitutional law
censo,zentsu,Juridical Sciences & Law > Civil law
censo,errolda,Mathematics > Statistics
censo, zentsu,Mathematics > Statistics
censo,errolda,Technological Sciences > Environmental technology and engineering
central mareomotriz,marea-energiako zentral,Earth and Space Sciences > Metereology and Oceanography
central mareomotriz,marea-zentral,Technological Sciences > Electrical technology and engineering
central mareomotriz, zentral maremotriz,Technological Sciences > Electrical technology and engineering
centro,zentro,Physics > Aplied Physics
centro,simetria-zentro,Technological Sciences > Industrial technology
centro, zentro,Technological Sciences > Industrial technology
centro,simetria-zentro,Physics > Electro-magnetism
centro,zentro,Education sciences
centro,zentro,Medical Sciences > Pharmacology
centro,zentro,Mathematics > Algebra
centro,zentro,Mathematics > Analysis and functional analysis
cepa,andui,Medical Sciences > Microbiology
cepa,zepa,Medical Sciences > Pharmacology
cepa,andui,Life sciences > Microbiology
cepa,andui,Life sciences > Biochemistry and Molecular Biology
cera,ezko,Life sciences > Biochemistry and Molecular Biology
cera,argizari,Medical Sciences > Pharmaceutical Technology
cerebro,garun,Medical Sciences > Pharmacology
cerebro,zerebro,Life sciences > Cell biology
cerebro,burmuin,Life sciences > Animal Biology
cerebro, zerebro,Life sciences > Animal Biology
certificado,ziurtagiri,Juridical Sciences & Law > Administrative law
certificado,ziurtagiri,Juridical Sciences & Law > Labour and Social Security law
certificado,egiaztagiri,Education sciences
certificar,egiaztatu,Juridical Sciences & Law > Constitutional law
certificar, ziurtatu,Juridical Sciences & Law > Constitutional law
certificar,egiaztatu,Juridical Sciences & Law > Law Philosophy
certificar,ziurtatu,Juridical Sciences & Law > Administrative law
CF,KF,Economic Sciences > General economics
CF, kostu finko,Economic Sciences > General economics
CF,Kuota Finko,Juridical Sciences & Law > Finance law
chinche,zimitz,Life sciences > Animal Biology
chinche,imuxa,Medical Sciences > Microbiology
chorro,zorrotada,Medical Sciences > Pharmaceutical Technology
chorro,zurrusta,Technological Sciences > Environmental technology and engineering
chorro,zurrusta,Physics > Aplied Physics
chorro,zorrotada,Physics > Fluids (physics of)
ciclo celular,zelularen ziklo,Life sciences > Cell biology
ciclo celular, zelulen ziklo,Life sciences > Cell biology
ciclo celular,ziklo zelular,Life sciences > Biochemistry and Molecular Biology
ciclo económico,ziklo ekonomiko,Economic Sciences > General economics
ciclo económico,ekonomia-ziklo,Economic Sciences > Organization and management of enterprises
ciclo vital,bizi-ziklo,Medical Sciences > Microbiology
ciclo vital,bizitza-ziklo,Education sciences
ciclo vital,bizi-ziklo,Life sciences > Cell biology
cierre,itxiera,Technological Sciences > Environmental technology and engineering
cierre,itxitura,Medical Sciences > Pharmaceutical Technology
cierre,itxiera,Juridical Sciences & Law > Constitutional law
cisteína,zisteina (Cys),Life sciences > Biochemistry and Molecular Biology
cisteína,zisteina,Chemistry > Organic chemistry
citosol,hialoplasma,Life sciences > Cell biology
citosol, matrize zitoplasmatiko,Life sciences > Cell biology
citosol, medio intrazelular,Life sciences > Cell biology
citosol,zitosol,Life sciences > Biochemistry and Molecular Biology
clave,giltzarri,Technological Sciences > Construction technology
clave,gako,Technological Sciences > Computer technology
cliente,bezero,Technological Sciences > Projects
cliente,bezero,Economic Sciences > Economic accounting
cliente,bezero,Economic Sciences > Organization and management of enterprises
cliente,kliente,Juridical Sciences & Law > Roman law
cliente,abonatu,Technological Sciences > Electrical technology and engineering
cliente, bezero,Technological Sciences > Electrical technology and engineering
cliente, erabiltzaile,Technological Sciences > Electrical technology and engineering
cliente,bezero,Economic Sciences > General economics
cliente,bezero,Technological Sciences > Computer technology
cliente, programa bezero,Technological Sciences > Computer technology
cliente,bezero,Education sciences
clima,giro,Education sciences
clima,klima,Medical Sciences > Medical diagnostic and Treatment Technology
clima,klima,Earth and Space Sciences > Metereology and Oceanography
clima,klima,Technological Sciences > Environmental technology and engineering
cluster,gene talde,Medical Sciences > Microbiology
cluster,cluster,Technological Sciences > Computer technology
cociente,zatidura,Mathematics > Analysis and functional analysis
cociente,koziente,Medical Sciences > Pharmacology
cociente,arrazoi,Physics > Electro-magnetism
cociente, zatidura,Physics > Electro-magnetism
cociente,zatidura,Mathematics > Algebra
codificación,kodeketa,Juridical Sciences & Law > Civil law
codificación,kodegintza,Juridical Sciences & Law > Law Philosophy
codificación, kodifikazio,Juridical Sciences & Law > Law Philosophy
codificación,kodeketa,Technological Sciences > Telecommunications technology
codificación, kodifikazio,Technological Sciences > Telecommunications technology
coeficiente de absorción,absortzio-koefiziente,Technological Sciences > Environmental technology and engineering
coeficiente de absorción,xurgapen-koefiziente,Physics > General Physics specialities
coeficiente de atenuación,indargabetze-koefiziente,Medical Sciences > Medical diagnostic and Treatment Technology
coeficiente de atenuación,atenuazio-koefiziente,Physics > Electro-magnetism
coeficiente de determinación,determinazio-koefiziente,Mathematics > Statistics
coeficiente de determinación,mugatze-koefiziente,Economic Sciences > Econometrics
coeficiente de extinción,itzaltze-koefiziente,Chemistry > Physical chemistry
coeficiente de extinción,iraungipen-koefiziente,Physics > Optics
coeficiente de extinción molar,itzaltze-koefiziente molar,Chemistry > Physical chemistry
coeficiente de extinción molar,absortzio molarraren koefiziente,Life sciences > Biochemistry and Molecular Biology
coeficiente de extinción molar, iraungitze molarreko koefiziente,Life sciences > Biochemistry and Molecular Biology
coeficiente de extinción molar, xurgapen molarreko koefiziente,Life sciences > Biochemistry and Molecular Biology
coeficiente de reducción,murrizketa-koefiziente,Juridical Sciences & Law > Finance law
coeficiente de reducción,txikitze-koefiziente,Technological Sciences > Industrial technology
coeficiente de reparto,banaketa-erlazio,Chemistry > Analytical chemistry
coeficiente de reparto,banaketa-koefiziente,Chemistry > Organic chemistry
coeficiente de reparto, partizio-koefiziente,Chemistry > Organic chemistry
coeficiente de reparto,banaketa-koefiziente,Medical Sciences > Pharmaceutical Technology
coeficiente de seguridad,segurtasun koefiziente,Technological Sciences > Construction technology
coeficiente de seguridad,segurtasun-faktore,Technological Sciences > Environmental technology and engineering
colorante,koloratzaile,Technological Sciences > Environmental technology and engineering
colorante,koloratzaile,Technological Sciences > Food technology
colorante,tindatzaile,Life sciences > Cell biology
colorante,koloratzaile,Life sciences > Microbiology
colorante, tindatzaile,Life sciences > Microbiology
colorante,koloratzaile,Medical Sciences > Pharmaceutical Technology
colorante,koloratzaile,Life sciences > Biochemistry and Molecular Biology
colorante,koloragarri,Chemistry > Organic chemistry
colorante, koloregai,Chemistry > Organic chemistry
colorante,tindagai,Medical Sciences > Microbiology
colorante, tindatzaile,Medical Sciences > Microbiology
combinación,konbinazio,Technological Sciences > Construction technology
combinación,konbinazio,Technological Sciences > Environmental technology and engineering
combinación,konbinazio,Economic Sciences > Economic accounting
combinación,konbinazio,Mathematics > Analysis and functional analysis
combinación,elkarketa,Medical Sciences > Pharmacology
combinación, Konbinazio,Medical Sciences > Pharmacology
combinación,konbinazio,Mathematics > Algebra
combinación,konbinazio,Physics > Electro-magnetism
combustión,errekuntza,Technological Sciences > Chemical technology and engineering
combustión,konbustio,Chemistry > Organic chemistry
combustión,erreketa,Technological Sciences > Environmental technology and engineering
combustión, errekuntza,Technological Sciences > Environmental technology and engineering
combustión, konbustio,Technological Sciences > Environmental technology and engineering
combustión,errekuntza,Chemistry > Physical chemistry
combustión, konbustio,Chemistry > Physical chemistry
comercio,merkataritza,Juridical Sciences & Law > Finance law
comercio,merkataritza,Juridical Sciences & Law > Constitutional law
comercio,elkartruke komertzial,Economic Sciences > General economics
comercio, mekataritza,Economic Sciences > General economics
comercio, merkataritza-truke,Economic Sciences > General economics
comisión,komisio,Economic Sciences > Organization and management of enterprises
comisión,komisio,Economic Sciences > Economic accounting
comisión,batzorde,Juridical Sciences & Law > Constitutional law
comisión arbitral,arbitraje-komisio,Juridical Sciences & Law > International law
comisión arbitral, batzorde arbitral,Juridical Sciences & Law > International law
comisión arbitral,arbitraje-batzorde,Juridical Sciences & Law > Finance law
compañía,konpainia,Economic Sciences > Organization and management of enterprises
compañía, sozietate,Economic Sciences > Organization and management of enterprises
compañía,baltzu,Juridical Sciences & Law > Commercial law
comparación,konparaketa,Mathematics > Statistics
comparación,alderaketa,Technological Sciences > Environmental technology and engineering
comparación,alderaketa,Juridical Sciences & Law > Constitutional law
comparación, erkaketa,Juridical Sciences & Law > Constitutional law
comparación, konparaketa,Juridical Sciences & Law > Constitutional law
compatibilidad,elkarkidetasun,Juridical Sciences & Law > Constitutional law
compatibilidad,bateragarritasun,Medical Sciences > Pharmaceutical Technology
compatibilidad,bateragarritasun,Juridical Sciences & Law > Law Philosophy
compensación,konpentsazio,Juridical Sciences & Law > Civil law
compensación,konpentsazio,Life sciences > Animal Biology
compensación,konpentsazio,Juridical Sciences & Law > Labour and Social Security law
compensación,kalte-ordain,Economic Sciences > Organization and management of enterprises
compensación,konpentsazio,Juridical Sciences & Law > Finance law
compensación,konpentsazio,Juridical Sciences & Law > Roman law
compensador,konpentsatzaile,Physics > Optics
compensador,konpentsagailu,Technological Sciences > Electrical technology and engineering
compensador,doigailu,Technological Sciences > Construction technology
compensador, konpentsagailu,Technological Sciences > Construction technology
competencia,konpetentzia,Education sciences
competencia,eskuduntza,Juridical Sciences & Law > Administrative law
competencia, eskumen,Juridical Sciences & Law > Administrative law
competencia,eskuduntza,Juridical Sciences & Law > Procedural law
competencia, eskumen,Juridical Sciences & Law > Procedural law
competencia,eskuduntza,Juridical Sciences & Law > Civil law
competencia, eskumen,Juridical Sciences & Law > Civil law
competencia,gaitasun,Technological Sciences > Projects
competencia,eskumen,Juridical Sciences & Law > Constitutional law
competencia,konpetentzia,Life sciences > Microbiology
competencia,konkurrentzia,Economic Sciences > General economics
competencia, lehia,Economic Sciences > General economics
competencia,konkurrentzia,Economic Sciences > Economic theory
competencia, konpetentzia,Economic Sciences > Economic theory
competencia, lehia,Economic Sciences > Economic theory
competencia,konkurrentzia,Economic Sciences > Organization and management of enterprises
competencia, lehia,Economic Sciences > Organization and management of enterprises
competencia,eskuduntza,Juridical Sciences & Law > Law Philosophy
competencia, gaitasun,Juridical Sciences & Law > Law Philosophy
competencia,eskuduntza,Juridical Sciences & Law > Labour and Social Security law
competencia,lehia,Juridical Sciences & Law > Commercial law
competencia,lehia,Juridical Sciences & Law > Finance law
competencia, eskumen,Juridical Sciences & Law > Finance law
complejo conjugado,konplexu konjugatu,Physics > General Physics specialities
complejo conjugado,konplexu konjokatu,Mathematics > Analysis and functional analysis
complejo proteico,proteina-konplexu,Life sciences > Biochemistry and Molecular Biology
complejo proteico,konplexu proteiko,Life sciences > Cell biology
complemento,osagarri,Mathematics > Algebra
complemento,konplementu,Medical Sciences > Microbiology
complemento, osagarri,Medical Sciences > Microbiology
complemento,konplementu,Life sciences > Microbiology
complemento,osagarri,Economic Sciences > Organization and management of enterprises
componente espectral,osagai espektral,Physics > Electro-magnetism
componente espectral, osagai frekuentzial,Physics > Electro-magnetism
componente espectral,espektro-osagai,Technological Sciences > Telecommunications technology
componente frecuencial,frekuentzia-osagai,Technological Sciences > Telecommunications technology
componente frecuencial, maiztasun-osagai,Technological Sciences > Telecommunications technology
componente frecuencial,osagai espektral,Physics > Electro-magnetism
componente frecuencial, osagai frekuentzial,Physics > Electro-magnetism
comportamiento,jokaera,Life sciences > Animal Biology
comportamiento,portaera,Technological Sciences > Environmental technology and engineering
comportamiento,portaera,Juridical Sciences & Law > Labour and Social Security law
comportamiento,giza portaera,Juridical Sciences & Law > Law Philosophy
comportamiento, gizalege,Juridical Sciences & Law > Law Philosophy
comportamiento, jokabide,Juridical Sciences & Law > Law Philosophy
comportamiento, jokaera,Juridical Sciences & Law > Law Philosophy
comportamiento, jokamolde,Juridical Sciences & Law > Law Philosophy
comportamiento, portaera,Juridical Sciences & Law > Law Philosophy
comportamiento,portaera,Physics > Electro-magnetism
comportamiento,jokabide,Education sciences
comportamiento,portaera,Technological Sciences > Construction technology
composición,konposaketa,Mathematics > Analysis and functional analysis
composición, konposizio,Mathematics > Analysis and functional analysis
composición,konposizio,Chemistry > Physical chemistry
composición,konposizio,Technological Sciences > Environmental technology and engineering
composición, osaera,Technological Sciences > Environmental technology and engineering
composición,konposizio,Medical Sciences > Pharmaceutical Technology
composición,osaera,Juridical Sciences & Law > Constitutional law
composición,konposizio,Mathematics > Algebra
composición,konposizio,Chemistry > Analytical chemistry
composición,konposaketa,Technological Sciences > Projects
composición,konposizio,Juridical Sciences & Law > Roman law
comprobación,egiaztapen,Juridical Sciences & Law > Administrative law
comprobación,frogaketa,Juridical Sciences & Law > Law Philosophy
comprobación,balioztapen,Juridical Sciences & Law > Finance law
comprobación, egiaztapen,Juridical Sciences & Law > Finance law
compromiso,akordio,Juridical Sciences & Law > International law
compromiso, hitzarmen,Juridical Sciences & Law > International law
compromiso,konpromiso,Economic Sciences > Economic accounting
compromiso,konpromiso,Education sciences
comunidad,komunitate,Juridical Sciences & Law > Law Philosophy
comunidad,erkidego,Juridical Sciences & Law > Labour and Social Security law
comunidad,erkidego,Juridical Sciences & Law > Constitutional law
comunidad,komunitate,Education sciences
comunidad,erkidego,Juridical Sciences & Law > Civil law
comunidad, komunitate,Juridical Sciences & Law > Civil law
comunidad,erkidego,Juridical Sciences & Law > Administrative law
comunidad,erkidego,Juridical Sciences & Law > European Union law
comunidad, komunitate,Juridical Sciences & Law > European Union law
comunidad de bienes,erkidego,Juridical Sciences & Law > Civil law
comunidad de bienes, ondasun-erkidego,Juridical Sciences & Law > Civil law
comunidad de bienes,ondasun-komunitate,Juridical Sciences & Law > Finance law
concentración iónica,kontzentrazio ioniko,Chemistry > Physical chemistry
concentración iónica,ioiaren kontzentrazio,Technological Sciences > Environmental technology and engineering
concentración mínima inhibitoria,inhibizioa eragiteko gutxieneko kontzentrazio,Medical Sciences > Microbiology
concentración mínima inhibitoria, MIC,Medical Sciences > Microbiology
concentración mínima inhibitoria,kontzentrazio minimo inhibitorio,Chemistry > Organic chemistry
concentrador,kontzentratzaile,Technological Sciences > Computer technology
concentrador,kontzentragailu,Technological Sciences > Electronic technology
conciliación,adiskidetze,Juridical Sciences & Law > Administrative law
conciliación,adiskidetze,Juridical Sciences & Law > Procedural law
conciliación,adiskidetze,Juridical Sciences & Law > Labour and Social Security law
conciliación,adiskidantza,Juridical Sciences & Law > International law
concurso,lehiaketa,Juridical Sciences & Law > Administrative law
concurso,konkurtso,Juridical Sciences & Law > Civil law
concurso,lehiaketa,Technological Sciences > Projects
concurso,lehiaketa,Juridical Sciences & Law > Labour and Social Security law
concurso,konkurtso,Juridical Sciences & Law > Finance law
concurso, lehiaketa,Juridical Sciences & Law > Finance law
condenar,kondenatu,Juridical Sciences & Law > Roman law
condenar,gaitzetsi,Juridical Sciences & Law > Law Philosophy
condición ambiental,ingurugiro-baldintza,Technological Sciences > Environmental technology and engineering
condición ambiental,giro-baldintza,Technological Sciences > Chemical technology and engineering
condición de cierre,itxitura-baldintza,Physics > Thermodynamics
condición de cierre,itxiera baldintza,Economic Sciences > Economic theory
condición de cierre, ixte-baldintza,Economic Sciences > Economic theory
condición inicial,hastapen-baldintza,Mathematics > Analysis and functional analysis
condición inicial,hasierako baldintza,Technological Sciences > Electrical technology and engineering
condición inicial,hasierako baldintza,Technological Sciences > Telecommunications technology
condiciones estándar,baldintza normal,Technological Sciences > Environmental technology and engineering
condiciones estándar,baldintza estandar,Life sciences > Biochemistry and Molecular Biology
conducción,kondukzio,Earth and Space Sciences > Geology
conducción,eroanbide,Technological Sciences > Electrical technology and engineering
conducción, erretilu,Technological Sciences > Electrical technology and engineering
conducción, kable-erretilu,Technological Sciences > Electrical technology and engineering
conducción, eroapen,Technological Sciences > Electrical technology and engineering
conducción,eroapen,Technological Sciences > Food technology
conducción, kondukzio,Technological Sciences > Food technology
conducción,eroapen,Physics > General Physics specialities
conducción,hoditeria,Technological Sciences > Environmental technology and engineering
conducción, tutueria,Technological Sciences > Environmental technology and engineering
conducción, kondukzio,Technological Sciences > Environmental technology and engineering
conducción,eroapen,Physics > Electro-magnetism
conducción, eroapen elektriko,Physics > Electro-magnetism
conducción,elektrizitatearen eroapen,Technological Sciences > Electronic technology
conducción, eroapen,Technological Sciences > Electronic technology
conducción, eroapen elektriko,Technological Sciences > Electronic technology
conductímetro,eroankortasun-detektagailu,Chemistry > Analytical chemistry
conductímetro,konduktimetro,Chemistry > Physical chemistry
conductividad,eroaletasun,Physics > Electro-magnetism
conductividad, eroankortasun,Physics > Electro-magnetism
conductividad,eroankortasun,Chemistry > Analytical chemistry
conductividad,eroaletasun,Technological Sciences > Electrical technology and engineering
conductividad, eroankortasun,Technological Sciences > Electrical technology and engineering
conductividad,eroankortasun,Medical Sciences > Pharmaceutical Technology
conductividad,eroaletasun,Technological Sciences > Environmental technology and engineering
conductividad, eroankortasun,Technological Sciences > Environmental technology and engineering
conductividad, konduktibitate,Technological Sciences > Environmental technology and engineering
conductividad,eroankortasun,Chemistry > Physical chemistry
conductividad, konduktibitate,Chemistry > Physical chemistry
conductividad,eroankortasun,Technological Sciences > Food technology
conductividad, konduktibitate,Technological Sciences > Food technology
conductividad,eroankortasun,Physics > General Physics specialities
conductividad,konduktibitate,Physics > Aplied Physics
conductividad,eroaletasun,Technological Sciences > Telecommunications technology
conductividad, eroankortasun,Technological Sciences > Telecommunications technology
conductividad,eroankortasun,Technological Sciences > Electronic technology
conductividad, eroankortasun elektriko,Technological Sciences > Electronic technology
conductividad eléctrica,eroaletasun elektriko,Technological Sciences > Environmental technology and engineering
conductividad eléctrica, eroankortasun elektriko,Technological Sciences > Environmental technology and engineering
conductividad eléctrica, konduktibitate elektriko,Technological Sciences > Environmental technology and engineering
conductividad eléctrica,eroaletasun elektriko,Physics > Electro-magnetism
conductividad eléctrica, eroankortasun elektriko,Physics > Electro-magnetism
conductividad eléctrica,eroankortasun,Technological Sciences > Electronic technology
conductividad eléctrica, eroankortasun elektriko,Technological Sciences > Electronic technology
conductividad eléctrica,konduktibitate elektriko,Physics > Aplied Physics
conductividad térmica,bero-eroankortasun,Life sciences > Biochemistry and Molecular Biology
conductividad térmica, eroankortasun termiko,Life sciences > Biochemistry and Molecular Biology
conductividad térmica,eroankortasun termiko,Technological Sciences > Environmental technology and engineering
conductividad térmica, konduktibitate termiko,Technological Sciences > Environmental technology and engineering
conductividad térmica,konduktibitate termiko,Chemistry > Organic chemistry
confesión,aitortze,Juridical Sciences & Law > Criminal law
confesión,aitortza,Juridical Sciences & Law > Procedural law
confirmación,berrespen,Chemistry > Analytical chemistry
confirmación,hitzarmen,Technological Sciences > Computer technology
confirmar,berretsi,Juridical Sciences & Law > Law Philosophy
confirmar,baieztatu,Mathematics > Analysis and functional analysis
confirmar,berretsi,Juridical Sciences & Law > Administrative law
confiscación,dekomiso,Juridical Sciences & Law > Procedural law
confiscación, konfiskazio,Juridical Sciences & Law > Procedural law
confiscación,bahikuntza,Juridical Sciences & Law > Constitutional law
confusión,nahasketa,Juridical Sciences & Law > Roman law
confusión,bateratze,Juridical Sciences & Law > Finance law
confusión,nahasketa,Juridical Sciences & Law > Civil law
confusión,nahasmen,Medical Sciences > Pharmacology
congelación,izozte,Medical Sciences > Pharmaceutical Technology
congelación,izozketa,Life sciences > Cell biology
congelación,izozketa,Life sciences > Microbiology
congestión pulmonar,biriki-kongestio,Medical Sciences > Pathology
congestión pulmonar,biriketako kongestio,Medical Sciences > Pharmacology
conjugación bacteriana,bakterioen konjugazio,Medical Sciences > Microbiology
conjugación bacteriana,bakterio-konjugazio,Life sciences > Biochemistry and Molecular Biology
conjunto convexo,multzo konbexu,Mathematics > Topology
conjunto convexo,multzo ganbil,Mathematics > Analysis and functional analysis
conjunto convexo, multzo konbexu,Mathematics > Analysis and functional analysis
conjunto convexo,multzo ganbil,Mathematics > Algebra
conjunto de instrucciones,instrukzio-multzo,Technological Sciences > Telecommunications technology
conjunto de instrucciones,agindu-joko,Technological Sciences > Computer technology
conjunto de instrucciones, agindu-multzo,Technological Sciences > Computer technology
conmutación,kommutazio,Juridical Sciences & Law > Civil law
conmutación,kommutazio,Technological Sciences > Electronic technology
conmutación,kommutazio,Technological Sciences > Telecommunications technology
conmutación,kommutazio,Technological Sciences > Electrical technology and engineering
conmutación,trukatze,Physics > Theoretical physics
conmutador,trukatzaile,Physics > Theoretical physics
conmutador,kommutadore,Technological Sciences > Electrical technology and engineering
conmutador,kommutadore,Technological Sciences > Computer technology
conmutador, kommutagailu,Technological Sciences > Computer technology
conmutador, switch,Technological Sciences > Computer technology
conmutador,konmutadore,Physics > Aplied Physics
conmutador,trukatzaile,Physics > Thermodynamics
conmutador,kommutadore,Technological Sciences > Electronic technology
conmutador, kommutagailu,Technological Sciences > Electronic technology
consecuencia,ondore,Juridical Sciences & Law > Law Philosophy
consecuencia,ondorio,Medical Sciences > Pharmacology
consecuencia,ondorio,Education sciences
Consejo de Ministros,Ministroen Kontseilua,Juridical Sciences & Law > Finance law
Consejo de Ministros,ministro-kontseilu,Juridical Sciences & Law > Constitutional law
Consejo de Ministros, ministroen kontseilu,Juridical Sciences & Law > Constitutional law
Consejo Europeo,Kontseilu Europarra,Juridical Sciences & Law > European Union law
Consejo Europeo,Europako Kontseilua,Medical Sciences > Nutritional sciences
consentimiento,baimen,Medical Sciences > Pharmacology
consentimiento,adostasun,Juridical Sciences & Law > Criminal law
consentimiento,adostasun,Juridical Sciences & Law > Civil law
consentimiento,adostasun,Juridical Sciences & Law > International law
consistencia,tinkotasun,Economic Sciences > Econometrics
consistencia,trinkotasun,Medical Sciences > Pharmaceutical Technology
consistencia,kontsistentzia,Technological Sciences > Computer technology
consolidación,baterakuntza,Economic Sciences > Economic accounting
consolidación,kontsolidazio,Technological Sciences > Environmental technology and engineering
contabilidad,kontabilitate,Economic Sciences > Organization and management of enterprises
contabilidad,kontabilitate,Economic Sciences > General economics
contabilidad,kontagarritasun,Mathematics > Topology
contabilidad,kontabilitate,Juridical Sciences & Law > Finance law
contacto,ukipen,Medical Sciences > Pharmaceutical Technology
contacto,kontaktu,Technological Sciences > Environmental technology and engineering
contacto,kontaktu,Technological Sciences > Electronic technology
contacto,kontaktu,Technological Sciences > Electrical technology and engineering
contacto,ukipen,Physics > Thermodynamics
contacto sexual,sexu-ukipen,Medical Sciences > Public health
contacto sexual,kontaktu sexual,Medical Sciences > Microbiology
contaminación,kutsadura,Life sciences > Cell biology
contaminación,kutsadura,Life sciences > Microbiology
contaminación,kutsadura,Technological Sciences > Electronic technology
contaminación,kontaminazio,Medical Sciences > Medical diagnostic and Treatment Technology
contaminación,kutsadura,Medical Sciences > Microbiology
contaminación,kontaminazio,Technological Sciences > Environmental technology and engineering
contaminación, kutsadura,Technological Sciences > Environmental technology and engineering
contaminación, poluzio,Technological Sciences > Environmental technology and engineering
contaminación,kontaminazio,Medical Sciences > Pharmaceutical Technology
contaminación, kutsadura,Medical Sciences > Pharmaceutical Technology
contaminación cruzada,kontaminazio gurutzatu,Technological Sciences > Food technology
contaminación cruzada,kutsadura gurutzatu,Life sciences > Microbiology
contaminante físico,kutsatzaile fisiko,Technological Sciences > Environmental technology and engineering
contaminante físico, poluitzaile fisiko,Technological Sciences > Environmental technology and engineering
contaminante físico,kontaminatzaile fisiko,Medical Sciences > Public health
contaminante químico,kontaminatzaile kimiko,Medical Sciences > Public health
contaminante químico,kutsatzaile kimiko,Technological Sciences > Environmental technology and engineering
contenedor,edukiontzi,Economic Sciences > Organization and management of enterprises
contenedor,edukiontzi,Technological Sciences > Environmental technology and engineering
contenedor,gordailu,Physics > Thermodynamics
contenedor,edukiontzi,Technological Sciences > Computer technology
contenido,edukiera,Juridical Sciences & Law > Law Philosophy
contenido,eduki,Technological Sciences > Computer technology
continuidad,jarraitutasun,Physics > Fluids (physics of)
