spanish,english,context
conductividad térmica,thermal conductivity,Life sciences > Biochemistry and Molecular Biology
conductividad térmica,heat conductivity,Technological Sciences > Environmental technology and engineering
conductividad térmica, thermal conductivity,Technological Sciences > Environmental technology and engineering
conductividad térmica,termal conductivity,Chemistry > Organic chemistry
conexión en paralelo,parallel connection,Technological Sciences > Electronic technology
conexión en paralelo,parallel combination,Technological Sciences > Electrical technology and engineering
conexión en paralelo,parallel connection,Physics > Aplied Physics
conexión en paralelo,parallel connection,Physics > Electro-magnetism
conexión en serie,association in series,Physics > Electro-magnetism
conexión en serie, series conection,Physics > Electro-magnetism
conexión en serie,series connection,Physics > Aplied Physics
conexión en serie,series connection,Technological Sciences > Electrical technology and engineering
conexión en serie,series connection,Technological Sciences > Electronic technology
confirmación,validation,Chemistry > Analytical chemistry
confirmación,commitment,Technological Sciences > Computer technology
congestión pulmonar,pulmonary congestion,Medical Sciences > Pathology
congestión pulmonar,lung congestion,Medical Sciences > Pharmacology
conidio,conidia,Medical Sciences > Microbiology
conidio,conidium,Life sciences > Microbiology
conjunto,ensemble,Physics > Thermodynamics
conjunto,assembly,Technological Sciences > Mechanical engineering and technology
conjunto,set,Mathematics > Statistics
conjunto,set,Physics > General Physics specialities
conjunto,set,Mathematics > Analysis and functional analysis
conjunto,set,Mathematics > Algebra
conjunto numerable,numerable set,Mathematics > Analysis and functional analysis
conjunto numerable,countable set,Mathematics > Topology
conjunto numerable, denumerable set,Mathematics > Topology
conjunto numerable, enumerable set,Mathematics > Topology
conmutación,commutation,Technological Sciences > Electronic technology
conmutación,switching,Technological Sciences > Telecommunications technology
conmutación,change-over switching,Technological Sciences > Electrical technology and engineering
conmutación, changeover switching,Technological Sciences > Electrical technology and engineering
conmutación, commutation,Technological Sciences > Electrical technology and engineering
conmutación, switching,Technological Sciences > Electrical technology and engineering
conmutación,commutation,Physics > Theoretical physics
conmutador,commutator,Physics > Theoretical physics
conmutador,changeover switch,Technological Sciences > Electrical technology and engineering
conmutador, commutator,Technological Sciences > Electrical technology and engineering
conmutador, selector switch,Technological Sciences > Electrical technology and engineering
conmutador,switch,Technological Sciences > Computer technology
conmutador,commutator,Physics > Aplied Physics
conmutador,conmutator,Physics > Thermodynamics
conmutador,switch,Technological Sciences > Electronic technology
constante cinética,kinetic constant,Technological Sciences > Environmental technology and engineering
constante cinética,rate constant,Chemistry > Physical chemistry
constante cinética, rate-constant,Chemistry > Physical chemistry
constante de integración,integration constant,Physics > Electro-magnetism
constante de integración,constant of integration,Physics > General Physics specialities
constante de proporcionalidad,proportionality constant,Physics > Electro-magnetism
constante de proporcionalidad,constant of proportionality,Mathematics > Analysis and functional analysis
constante de velocidad,velocity constant,Physics > Electro-magnetism
constante de velocidad,rate constant,Medical Sciences > Pharmaceutical Technology
constante de velocidad,rate constant,Chemistry > Physical chemistry
constante de velocidad, rate-constant,Chemistry > Physical chemistry
construcción,construction,Technological Sciences > Computer technology
construcción,building,Technological Sciences > Construction technology
construcción,building,Technological Sciences > Projects
construcción, construction,Technological Sciences > Projects
constructor,constructor,Technological Sciences > Computer technology
constructor, constructor method,Technological Sciences > Computer technology
constructor,builder,Technological Sciences > Projects
consulta,consultation,Technological Sciences > Computer technology
consulta, query,Technological Sciences > Computer technology
consulta,appointment,Medical Sciences > Pharmacology
consulta, medical office,Medical Sciences > Pharmacology
consumir,consume,Technological Sciences > Environmental technology and engineering
consumir, use,Technological Sciences > Environmental technology and engineering
consumir,consume,Technological Sciences > Electrical technology and engineering
consumir, use,Technological Sciences > Electrical technology and engineering
consumir, absorb,Technological Sciences > Electrical technology and engineering
contabilidad,accounting,Economic Sciences > Organization and management of enterprises
contabilidad, book-keeping,Economic Sciences > Organization and management of enterprises
contabilidad,accounting,Economic Sciences > General economics
contabilidad,countability,Mathematics > Topology
contador,electric meter,Technological Sciences > Electrical technology and engineering
contador, energy meter,Technological Sciences > Electrical technology and engineering
contador,counter,Medical Sciences > Pharmaceutical Technology
contador,counter,Technological Sciences > Computer technology
contador,counter,Technological Sciences > Environmental technology and engineering
contaminación,contamination,Life sciences > Cell biology
contaminación,contamination,Life sciences > Microbiology
contaminación,pollution,Technological Sciences > Electronic technology
contaminación,contamination,Medical Sciences > Medical diagnostic and Treatment Technology
contaminación,contamination,Medical Sciences > Microbiology
contaminación,contamination,Technological Sciences > Environmental technology and engineering
contaminación, pollution,Technological Sciences > Environmental technology and engineering
contaminación,contamination,Medical Sciences > Pharmaceutical Technology
contaminante atmosférico,atmospheric contaminant,Chemistry > Analytical chemistry
contaminante atmosférico,air contaminant,Technological Sciences > Environmental technology and engineering
contaminante atmosférico, air pollutant,Technological Sciences > Environmental technology and engineering
contaminante atmosférico, atmospheric pollutant,Technological Sciences > Environmental technology and engineering
contaminante físico,physical contaminant,Technological Sciences > Environmental technology and engineering
contaminante físico, physical pollutant,Technological Sciences > Environmental technology and engineering
contaminante físico,physic contaminant,Medical Sciences > Public health
contaminante químico,chemic contaminant,Medical Sciences > Public health
contaminante químico,chemical pollutant,Technological Sciences > Environmental technology and engineering
contenedor,container,Economic Sciences > Organization and management of enterprises
contenedor,container,Technological Sciences > Environmental technology and engineering
contenedor,vessel,Physics > Thermodynamics
contenedor,container,Technological Sciences > Computer technology
contorno,border,Mathematics > Analysis and functional analysis
contorno, boundary,Mathematics > Analysis and functional analysis
contorno,contour,Technological Sciences > Mechanical engineering and technology
contorno,contour,Technological Sciences > Industrial technology
contorno aparente,limiting contour,Technological Sciences > Industrial technology
contorno aparente,apparent profile,Technological Sciences > Mechanical engineering and technology
contracción,contraction,Technological Sciences > Mechanical engineering and technology
contracción,shrinkage,Technological Sciences > Construction technology
contracción,contraction,Life sciences > Cell biology
contracción,contraction,Technological Sciences > Food technology
contracción,contraction,Life sciences > Animal Biology
contraejemplo,contrary example,Mathematics > Analysis and functional analysis
contraejemplo,counterexample,Mathematics > Algebra
contraste,test,Economic Sciences > Econometrics
contraste,contrast,Life sciences > Cell biology
contraste,contrast,Medical Sciences > Pharmacology
contraste,contrast,Medical Sciences > Medical diagnostic and Treatment Technology
contratación,engagement,Technological Sciences > Projects
contratación,hiring,Economic Sciences > Organization and management of enterprises
cordillera,cordillera,Earth and Space Sciences > Geology
cordillera,mountain chain,Technological Sciences > Environmental technology and engineering
cordón,bead,Technological Sciences > Construction technology
cordón, chord,Technological Sciences > Construction technology
cordón, weld bead,Technological Sciences > Construction technology
cordón,cord,Technological Sciences > Electrical technology and engineering
cordón de soldadura,bead,Technological Sciences > Construction technology
cordón de soldadura, chord,Technological Sciences > Construction technology
cordón de soldadura, weld bead,Technological Sciences > Construction technology
cordón de soldadura,wealding seam,Technological Sciences > Industrial technology
correa,purlin,Technological Sciences > Construction technology
correa,strap,Medical Sciences > Pharmaceutical Technology
corriente de agua,water current,Technological Sciences > Environmental technology and engineering
corriente de agua,water stream,Physics > Aplied Physics
corriente de convección,convection current,Technological Sciences > Environmental technology and engineering
corriente de convección,convective flow,Earth and Space Sciences > Geology
corriente de magnetización,excitation current,Technological Sciences > Electrical technology and engineering
corriente de magnetización, excitation system current,Technological Sciences > Electrical technology and engineering
corriente de magnetización, magnetising current,Technological Sciences > Electrical technology and engineering
corriente de magnetización,magnetization current,Physics > Electro-magnetism
corrimiento,shift,Physics > Electro-magnetism
corrimiento,landslide,Technological Sciences > Environmental technology and engineering
corrimiento, landslip,Technological Sciences > Environmental technology and engineering
corte,cut,Life sciences > Cell biology
corte,section,Technological Sciences > Projects
corte,cut-off,Physics > Electro-magnetism
corte,cut-off,Technological Sciences > Electronic technology
corte, cutoff,Technological Sciences > Electronic technology
corte,cross-section,Earth and Space Sciences > Geology
corte,section view,Technological Sciences > Industrial technology
corte,breaking,Technological Sciences > Electrical technology and engineering
corte parcial,clipping section,Technological Sciences > Mechanical engineering and technology
corte parcial,broken-out section view,Technological Sciences > Industrial technology
corte por planos paralelos,offset section view,Technological Sciences > Industrial technology
corte por planos paralelos,cutting by parallel planes,Technological Sciences > Mechanical engineering and technology
corte transversal,crosswise cutting,Technological Sciences > Mechanical engineering and technology
corte transversal,cross section,Technological Sciences > Industrial technology
corteza,crust of the earth,Technological Sciences > Construction technology
corteza,cortex,Life sciences > Human physiology
corteza,crust,Technological Sciences > Environmental technology and engineering
corteza, earth crust,Technological Sciences > Environmental technology and engineering
corteza,crust,Earth and Space Sciences > Geology
corteza terrestre,earth's crust,Technological Sciences > Electronic technology
corteza terrestre,crust,Technological Sciences > Environmental technology and engineering
corteza terrestre, earth crust,Technological Sciences > Environmental technology and engineering
corto plazo,short-run,Economic Sciences > General economics
corto plazo,short-term,Medical Sciences > Pharmacology
corto plazo,short run,Economic Sciences > Organization and management of enterprises
corto plazo, short term,Economic Sciences > Organization and management of enterprises
corto plazo,short term,Economic Sciences > Economic theory
corto plazo, short-run,Economic Sciences > Economic theory
cortocircuito,forwarding,Technological Sciences > Computer technology
cortocircuito,s/c,Technological Sciences > Electronic technology
cortocircuito, short,Technological Sciences > Electronic technology
cortocircuito, short circuit,Technological Sciences > Electronic technology
cortocircuito,short circuit,Physics > Electro-magnetism
cortocircuito,short-circuit,Technological Sciences > Electrical technology and engineering
coste de explotación,exploitation cost,Technological Sciences > Environmental technology and engineering
coste de explotación, operating cost,Technological Sciences > Environmental technology and engineering
coste de explotación,cost of operation,Technological Sciences > Projects
cota,bound,Mathematics > Analysis and functional analysis
cota,dimension,Technological Sciences > Projects
cota,elevation,Physics > Fluids (physics of)
cota, height of a point,Physics > Fluids (physics of)
cota,dimension,Technological Sciences > Industrial technology
cota, size on a drawing,Technological Sciences > Industrial technology
cota,bound,Economic Sciences > Econometrics
cota,height,Earth and Space Sciences > Geology
crecimiento,growth,Life sciences > Animal Biology
crecimiento,growth,Mathematics > Analysis and functional analysis
crecimiento, increase,Mathematics > Analysis and functional analysis
crecimiento,growth,Medical Sciences > Pharmacology
crecimiento,growth,Technological Sciences > Electronic technology
crecimiento,growth,Technological Sciences > Environmental technology and engineering
cresta,crista,Life sciences > Cell biology
cresta, fold,Life sciences > Cell biology
cresta,crest,Earth and Space Sciences > Metereology and Oceanography
cribar,sieve,Technological Sciences > Chemical technology and engineering
cribar,screen,Technological Sciences > Environmental technology and engineering
crisis,crisis,Economic Sciences > General economics
crisis,attack,Medical Sciences > Pharmacology
cronograma,time diagram,Economic Sciences > Organization and management of enterprises
cronograma, timetable,Economic Sciences > Organization and management of enterprises
cronograma,chronogram,Technological Sciences > Computer technology
cronograma, timing chart,Technological Sciences > Computer technology
cronograma,chronogram,Technological Sciences > Environmental technology and engineering
cronograma, time table,Technological Sciences > Environmental technology and engineering
cronograma,schedule,Technological Sciences > Projects
cuantificación,quantification,Life sciences > Microbiology
cuantificación,quantification,Life sciences > Cell biology
cuantificación,quantization,Technological Sciences > Telecommunications technology
cuantificación,quantification,Chemistry > Analytical chemistry
cuantificación,quantification,Medical Sciences > Pharmacology
cubeta,hollow,Earth and Space Sciences > Geology
cubeta,cuvette,Chemistry > Analytical chemistry
cubeta,cuvette,Life sciences > Biochemistry and Molecular Biology
cubierta,cover,Technological Sciences > Construction technology
cubierta, roof,Technological Sciences > Construction technology
cubierta,outer sheath,Technological Sciences > Electrical technology and engineering
cubierta, oversheath,Technological Sciences > Electrical technology and engineering
cubierta, sheath,Technological Sciences > Electrical technology and engineering
cubierta,cover,Technological Sciences > Mechanical engineering and technology
cubierta,roof,Technological Sciences > Environmental technology and engineering
cubierta,cover,Life sciences > Cell biology
cubo de rueda,wheel hub,Technological Sciences > Mechanical engineering and technology
cubo de rueda,hub,Technological Sciences > Industrial technology
cuenta de pérdidas y ganancias,profit and loss account,Economic Sciences > Organization and management of enterprises
cuenta de pérdidas y ganancias,income statement,Economic Sciences > General economics
cuenta de pérdidas y ganancias, profit and loss,Economic Sciences > General economics
cuerda,chord,Mathematics > Analysis and functional analysis
cuerda,rope,Technological Sciences > Construction technology
cuerda, string,Technological Sciences > Construction technology
cuerda,chord,Technological Sciences > Industrial technology
cuerda,chord,Technological Sciences > Mechanical engineering and technology
cuerpo,body,Physics > Aplied Physics
cuerpo,body,Physics > Mechanics
cuerpo,body,Technological Sciences > Construction technology
cuerpo,body,Mathematics > Analysis and functional analysis
cuerpo, field,Mathematics > Analysis and functional analysis
cuerpo, solid,Mathematics > Analysis and functional analysis
cuerpo,field,Mathematics > Algebra
cuerpo,body,Physics > Electro-magnetism
cuerpo,body,Technological Sciences > Electronic technology
cultivo,culture,Life sciences > Biochemistry and Molecular Biology
cultivo,crop,Technological Sciences > Environmental technology and engineering
cultivo,culture,Life sciences > Microbiology
cultivo,cell culture,Life sciences > Cell biology
cultivo, culture,Life sciences > Cell biology
cultivo,culture,Life sciences > Animal Biology
cultivo,culture,Medical Sciences > Microbiology
cultivo,culture,Chemistry > Organic chemistry
curva característica,characteristic curve,Technological Sciences > Electronic technology
curva característica,characteristic curve,Physics > General Physics specialities
curva característica,characteristic,Technological Sciences > Electrical technology and engineering
dador de electrones,electron donor,Technological Sciences > Environmental technology and engineering
dador de electrones,donor,Technological Sciences > Electronic technology
dador de electrones, electron donor,Technological Sciences > Electronic technology
dador de electrones,electron-donating,Chemistry > Organic chemistry
dador de electrones, electron-releasing,Chemistry > Organic chemistry
daño,damage,Technological Sciences > Projects
daño,damage,Medical Sciences > Pharmacology
daño, harm,Medical Sciences > Pharmacology
datación,dating,Life sciences > Biochemistry and Molecular Biology
datación,datation,Earth and Space Sciences > Geology
dato,data,Medical Sciences > Pharmaceutical Technology
dato,data,Technological Sciences > Instrumentation technology
dato, information,Technological Sciences > Instrumentation technology
dato,datum,Mathematics > Analysis and functional analysis
dato,datum,Chemistry > Physical chemistry
dato,data,Technological Sciences > Computer technology
dato,data,Chemistry > Analytical chemistry
dato,data,Medical Sciences > Pharmacology
dato,datum,Technological Sciences > Telecommunications technology
declaración,claim,Medical Sciences > Nutritional sciences
declaración,declaration,Technological Sciences > Computer technology
defecto,defect,Medical Sciences > Dentistry
defecto,defect,Technological Sciences > Electrical technology and engineering
defecto, fault,Technological Sciences > Electrical technology and engineering
defecto,fault,Technological Sciences > Construction technology
déficit,lack,Medical Sciences > Pharmacology
déficit, shortage,Medical Sciences > Pharmacology
déficit,deficit,Economic Sciences > General economics
déficit,deficit,Technological Sciences > Environmental technology and engineering
déficit, shortage,Technological Sciences > Environmental technology and engineering
déficit,deficit,Economic Sciences > Economic theory
déficit público,government deficit,Economic Sciences > General economics
déficit público,public deficit,Economic Sciences > Economic theory
demostración,demonstration,Mathematics > Analysis and functional analysis
demostración, proof,Mathematics > Analysis and functional analysis
demostración,demonstration,Physics > Electro-magnetism
demostración, proof,Physics > Electro-magnetism
demostración,proof,Mathematics > Algebra
dependencia,dependence,Physics > Theoretical physics
dependencia,dependence,Medical Sciences > Pharmaceutical Technology
dependencia,dependence,Economic Sciences > Econometrics
dependencia,dependence,Mathematics > Statistics
dependencia,dependence,Physics > General Physics specialities
dependencia,dependence,Medical Sciences > Pharmacology
dependencia,dependency,Technological Sciences > Computer technology
dependencia,dependence,Mathematics > Analysis and functional analysis
depósito,deposition,Earth and Space Sciences > Geology
depósito, deposit,Earth and Space Sciences > Geology
depósito,deposit 1,Economic Sciences > General economics
depósito,deposit,Economic Sciences > Organization and management of enterprises
depósito,chamber,Technological Sciences > Environmental technology and engineering
depósito, storage tank,Technological Sciences > Environmental technology and engineering
depósito, storehouse,Technological Sciences > Environmental technology and engineering
depósito,deposit,Economic Sciences > Economic theory
depósito,tank,Physics > Fluids (physics of)
depreciación,depreciation,Economic Sciences > General economics
depreciación,depreciation,Technological Sciences > Projects
depreciación, devalorisation,Technological Sciences > Projects
depreciación, fall in value,Technological Sciences > Projects
depreciación,depreciation,Economic Sciences > Economic theory
derivación,derivation,Mathematics > Analysis and functional analysis
derivación,branch-joint,Technological Sciences > Electrical technology and engineering
derivación, shunt,Technological Sciences > Electrical technology and engineering
derivación,derivation,Technological Sciences > Telecommunications technology
derivar,derive,Physics > Aplied Physics
derivar,derivate,Economic Sciences > Econometrics
derivar,derive,Mathematics > Analysis and functional analysis
derivar,infer,Technological Sciences > Environmental technology and engineering
derrame,leak,Medical Sciences > Medical diagnostic and Treatment Technology
derrame,dump,Physics > Fluids (physics of)
derrame, dumping,Physics > Fluids (physics of)
derrame, spill,Physics > Fluids (physics of)
desacoplamiento,uncoppling,Life sciences > Animal Biology
desacoplamiento,decoupling,Physics > Electro-magnetism
desacoplamiento,decoupling,Chemistry > Organic chemistry
desarrollo,development,Life sciences > Animal Biology
desarrollo,development,Technological Sciences > Environmental technology and engineering
desarrollo,expansion,Physics > General Physics specialities
desarrollo,development,Medical Sciences > Pharmaceutical Technology
desarrollo,development,Technological Sciences > Computer technology
desarrollo,development,Medical Sciences > Pharmacology
desarrollo,development,Life sciences > Cell biology
desarrollo,unwinding a curve,Technological Sciences > Construction technology
desarrollo de Taylor,Taylor series,Mathematics > Analysis and functional analysis
desarrollo de Taylor, Taylor series expansion,Mathematics > Analysis and functional analysis
desarrollo de Taylor, Taylor's expansion,Mathematics > Analysis and functional analysis
desarrollo de Taylor, Taylor's series,Mathematics > Analysis and functional analysis
desarrollo de Taylor,Taylor expansion,Physics > General Physics specialities
desarrollo en serie,series expansion,Physics > Thermodynamics
desarrollo en serie,series development,Technological Sciences > Telecommunications technology
desarrollo en serie,series expansion,Physics > General Physics specialities
desarrollo en serie,series expansion,Mathematics > Analysis and functional analysis
descenso del punto de fusión,depression of fusion point,Chemistry > Physical chemistry
descenso del punto de fusión,freezing-point depression,Physics > Thermodynamics
descenso del punto de fusión, freezing-point descent,Physics > Thermodynamics
descuento,discount,Economic Sciences > Organization and management of enterprises
descuento, exchange discount,Economic Sciences > Organization and management of enterprises
descuento,discount,Economic Sciences > General economics
desecador,dryer,Medical Sciences > Pharmaceutical Technology
desecador,desecator,Chemistry > Physical chemistry
desequilibrio,imbalance,Economic Sciences > Economic theory
desequilibrio,imbalance,Medical Sciences > Pharmacology
desequilibrio, unbalance,Medical Sciences > Pharmacology
desfase,phase difference,Physics > General Physics specialities
desfase,phase shift,Technological Sciences > Environmental technology and engineering
desfase,phase difference,Technological Sciences > Electrical technology and engineering
desfase, phase displacement,Technological Sciences > Electrical technology and engineering
desfase, phase shift,Technological Sciences > Electrical technology and engineering
desfase,phase shift,Technological Sciences > Telecommunications technology
desfase,skew,Technological Sciences > Computer technology
desfase,phase shift,Physics > Electro-magnetism
deshidratación,dehydration,Life sciences > Cell biology
deshidratación,dehydration,Technological Sciences > Chemical technology and engineering
deshidratación, dewatering,Technological Sciences > Chemical technology and engineering
deshidratación,dehydration,Medical Sciences > Pharmacology
deshidratación,dehydration,Chemistry > Organic chemistry
deshidratación,dehydration,Life sciences > Microbiology
deshidratación,dehydration,Technological Sciences > Food technology
deshidratación,dehydration,Technological Sciences > Environmental technology and engineering
desintegración,desintegration,Physics > Theoretical physics
desintegración,decay,Physics > Mechanics
desintegración, disintegration,Physics > Mechanics
desintegración,disintegration,Technological Sciences > Environmental technology and engineering
desintegración,disintegration,Medical Sciences > Medical diagnostic and Treatment Technology
desintegración,disintegration,Technological Sciences > Food technology
deslizamiento,slip,Technological Sciences > Electrical technology and engineering
deslizamiento,sliding,Technological Sciences > Mechanical engineering and technology
deslizamiento,slip,Physics > Aplied Physics
deslizar,slide,Technological Sciences > Mechanical engineering and technology
deslizar,slip,Technological Sciences > Electrical technology and engineering
desplazamiento,shift,Physics > Electro-magnetism
desplazamiento, displacement,Physics > Electro-magnetism
desplazamiento,displacement,Medical Sciences > Medical diagnostic and Treatment Technology
desplazamiento,shift,Chemistry > Organic chemistry
desplazamiento,shifting,Technological Sciences > Telecommunications technology
desplazamiento,displacement,Physics > Mechanics
desplazamiento,displacement,Technological Sciences > Construction technology
desplazamiento,shift,Physics > Theoretical physics
desplazamiento,displacement,Physics > General Physics specialities
desplazamiento,displacement,Technological Sciences > Environmental technology and engineering
desviación,drift,Technological Sciences > Projects
desviación,deviation,Physics > Thermodynamics
desviación,deviation,Mathematics > Statistics
desviación,deviation,Physics > Optics
desviación,desviation,Economic Sciences > Econometrics
desviación estándar,dispersion coefficient,Technological Sciences > Environmental technology and engineering
desviación estándar, standard deviation,Technological Sciences > Environmental technology and engineering
desviación estándar,standard deviation,Technological Sciences > Telecommunications technology
desviación estándar,estandard deviation,Physics > Thermodynamics
desviación estándar,standard deviation,Life sciences > Biochemistry and Molecular Biology
desviación estándar,standard deviation,Medical Sciences > Pharmaceutical Technology
desviación estándar,standard deviation,Chemistry > Analytical chemistry
determinación,measurement,Life sciences > Animal Biology
determinación,determination,Technological Sciences > Environmental technology and engineering
determinación,determination,Chemistry > Analytical chemistry
determinación,assessment,Medical Sciences > Pharmaceutical Technology
deuda,debt,Economic Sciences > General economics
deuda,debit,Economic Sciences > Organization and management of enterprises
deuda,debt,Economic Sciences > Economic theory
deuda pública,public debt,Economic Sciences > Economic theory
deuda pública,government debt,Economic Sciences > General economics
deuda pública, public debt,Economic Sciences > General economics
deuda pública, state debt,Economic Sciences > General economics
diagonal,diagonal,Physics > Electro-magnetism
diagonal,diagonal,Mathematics > Analysis and functional analysis
diagonal,web,Technological Sciences > Construction technology
diagrama de dispersión,scater plot,Mathematics > Statistics
diagrama de dispersión, scatterplot,Mathematics > Statistics
diagrama de dispersión,scatter diagram,Economic Sciences > Econometrics
diámetro interno,internal diameter,Chemistry > Analytical chemistry
diámetro interno,inner diameter,Technological Sciences > Environmental technology and engineering
diferencia,difference,Technological Sciences > Telecommunications technology
diferencia,difference,Mathematics > Analysis and functional analysis
diferencia, subtraction,Mathematics > Analysis and functional analysis
diferencia,difference,Mathematics > Statistics
diferencia, difference,Mathematics > Statistics
diferencia,difference,Mathematics > Algebra
diferencia,difference,Medical Sciences > Pharmacology
diferencia de fase,phase angle,Physics > Electro-magnetism
diferencia de fase, phase difference,Physics > Electro-magnetism
diferencia de fase,phase difference,Technological Sciences > Telecommunications technology
diferencia de fase,phase difference,Technological Sciences > Electrical technology and engineering
diferencia de fase, phase displacement,Technological Sciences > Electrical technology and engineering
diferencia de fase, phase shift,Technological Sciences > Electrical technology and engineering
diferencia de fase,phase shift,Technological Sciences > Environmental technology and engineering
diferencia de potencial,potential difference,Physics > Electro-magnetism
diferencia de potencial, tension,Physics > Electro-magnetism
diferencia de potencial, voltage,Physics > Electro-magnetism
diferencia de potencial,potential difference,Technological Sciences > Electronic technology
diferencia de potencial, voltage,Technological Sciences > Electronic technology
diferencia de potencial,potential difference,Physics > Thermodynamics
diferencia de potencial,potential difference,Physics > Aplied Physics
diferencia de potencial,potential,Life sciences > Animal Biology
diferencia de potencial, voltage,Life sciences > Animal Biology
diferencia de potencial,standard cell potential,Chemistry > Physical chemistry
diferencia de potencial,voltage,Physics > General Physics specialities
diferencia de potencial,potential difference,Technological Sciences > Electrical technology and engineering
diferencia de potencial, voltage,Technological Sciences > Electrical technology and engineering
diferencia de potencial, potential difference,Technological Sciences > Electrical technology and engineering
difusión facilitada,facilitated diffusion,Life sciences > Animal Biology
difusión facilitada, facilitated transport,Life sciences > Animal Biology
difusión facilitada,facilitated diffusion,Life sciences > Cell biology
difusión facilitada, passive-mediated transport,Life sciences > Cell biology
difusión facilitada,facilitated diffussion,Life sciences > Biochemistry and Molecular Biology
dilatación,expansion,Technological Sciences > Environmental technology and engineering
dilatación,expansion,Physics > Thermodynamics
dilatación,dilation,Technological Sciences > Construction technology
dilatación,dilation,Technological Sciences > Chemical technology and engineering
dilatación, expansion,Technological Sciences > Chemical technology and engineering
diodo emisor de luz,light-emitting diode,Technological Sciences > Computer technology
diodo emisor de luz,LED diode,Technological Sciences > Electronic technology
diodo emisor de luz, Light Emitting Diode,Technological Sciences > Electronic technology
diodo emisor de luz,light diode,Physics > Electro-magnetism
diodo emisor de luz, light-emitting diode,Physics > Electro-magnetism
dirección,direction,Medical Sciences > Pharmaceutical Technology
dirección,direction,Technological Sciences > Mechanical engineering and technology
dirección,strike,Earth and Space Sciences > Geology
dirección,direction,Technological Sciences > Construction technology
dirección,direction,Physics > Mechanics
dirección,direction,Technological Sciences > Projects
dirección,direction,Physics > Electro-magnetism
dirección,address,Technological Sciences > Computer technology
dirección,direction,Physics > General Physics specialities
dirección,direction,Mathematics > Analysis and functional analysis
dirección,direction,Physics > Aplied Physics
disco,disk,Physics > Electro-magnetism
disco,disk,Medical Sciences > Medical diagnostic and Treatment Technology
disco,disc,Physics > Fluids (physics of)
discontinuidad,discontinuity,Technological Sciences > Electrical technology and engineering
discontinuidad,disontinuity,Earth and Space Sciences > Geology
discontinuidad,discontinuity,Mathematics > Analysis and functional analysis
discontinuidad, point of discontinuity,Mathematics > Analysis and functional analysis
discontinuidad,discontinuity,Physics > Electro-magnetism
discontinuidad,discontinuity,Technological Sciences > Environmental technology and engineering
discordancia,unconformity,Technological Sciences > Environmental technology and engineering
discordancia,angular unconformity,Earth and Space Sciences > Geology
disolución,dissolution,Medical Sciences > Pharmaceutical Technology
disolución,solution,Chemistry > Physical chemistry
disolución,dissolution,Technological Sciences > Environmental technology and engineering
disolución, solution,Technological Sciences > Environmental technology and engineering
disolución,disolution,Life sciences > Animal Biology
disolución,solution,Chemistry > Analytical chemistry
disolución,solution,Technological Sciences > Electronic technology
disolución,solution,Physics > Fluids (physics of)
disolución madre,stock solution,Chemistry > Physical chemistry
disolución madre,mother solution,Life sciences > Cell biology
disparador,trigger,Technological Sciences > Computer technology
disparador,opening mechanism,Technological Sciences > Electrical technology and engineering
disparador, release,Technological Sciences > Electrical technology and engineering
disparador, releaser,Technological Sciences > Electrical technology and engineering
disparo,firing,Technological Sciences > Computer technology
disparo,triggering,Technological Sciences > Electrical technology and engineering
disparo, tripping,Technological Sciences > Electrical technology and engineering
dispersión,dispersion,Technological Sciences > Construction technology
dispersión, scatter,Technological Sciences > Construction technology
dispersión, spread,Technological Sciences > Construction technology
dispersión,dispersion,Economic Sciences > Econometrics
dispersión,dispersion,Chemistry > Analytical chemistry
dispersión,dispersion,Medical Sciences > Medical diagnostic and Treatment Technology
dispersión,dispersion,Physics > Electro-magnetism
dispersión, scattering,Physics > Electro-magnetism
dispersión,dispersion,Medical Sciences > Pharmaceutical Technology
dispersión,scattering,Physics > Theoretical physics
dispersión,dispersion,Chemistry > Physical chemistry
dispersión,dispersion,Technological Sciences > Environmental technology and engineering
dispersión,spread,Mathematics > Statistics
dispersión,dispersion,Physics > Optics
disposición,order,Technological Sciences > Projects
disposición,provision,Medical Sciences > Nutritional sciences
distribución de cargas,load distribution,Technological Sciences > Construction technology
distribución de cargas,charge distribution,Chemistry > Organic chemistry
distribución normal,Gaussian distribution,Technological Sciences > Telecommunications technology
distribución normal,normal distribution,Mathematics > Statistics
distribución normal,Gaussian distribution,Technological Sciences > Environmental technology and engineering
distribución normal, normal distribution,Technological Sciences > Environmental technology and engineering
distribución normal,normal distribution,Economic Sciences > Econometrics
distribución normal,normal distribution,Medical Sciences > Pharmaceutical Technology
distribución t,t-distribution,Economic Sciences > Econometrics
distribución t,Student's t-distribution,Mathematics > Statistics
distribución t, t distribution,Mathematics > Statistics
divisa,foreign currency,Economic Sciences > Organization and management of enterprises
divisa, foreign exchange,Economic Sciences > Organization and management of enterprises
divisa,currency,Economic Sciences > General economics
divisa,foreign exchange,Economic Sciences > Economic theory
dosificación,dosage,Medical Sciences > Pharmacology
dosificación, dosification,Medical Sciences > Pharmacology
dosificación,dosage,Medical Sciences > Pharmaceutical Technology
dosificación,dosing,Technological Sciences > Environmental technology and engineering
durabilidad,sustainability,Technological Sciences > Environmental technology and engineering
durabilidad,durability,Technological Sciences > Computer technology
duración,duration,Technological Sciences > Telecommunications technology
duración,duration,Technological Sciences > Projects
duración,length,Medical Sciences > Pharmaceutical Technology
duración,duration,Medical Sciences > Pharmacology
